BO-ID,startYear,primaryTitle,genres,Prod Budget,Domestic BO,Intl BO,WW BO
1,1989,Batman,Action,35000000,251188924,160160000,411348924
2,1989,Licence to Kill,Action,42000000,34667015,121500000,156167015
3,1989,The Abyss,Adventure,70000000,54243125,316,54243441
4,1989,Indiana Jones and the Last Crusade,Adventure,48000000,197171806,277000000,474171806
5,1990,Days of Thunder,Action,60000000,82670733,75000000,157670733
6,1991,Robin Hood: Prince of Thieves,Adventure,50000000,165493908,225006092,390500000
7,1992,Batman Returns,Action,80000000,162833635,103990656,266824291
8,1992,Death Becomes Her,Black Comedy,55000000,58422650,90600000,149022650
9,1992,Malcolm X,Drama,35000000,48169910,24933000,73102910
10,1993,Jurassic Park,Adventure,63000000,402523348,643049687,1045573035
11,1993,The Pelican Brief,Thriller/Suspense,45000000,100768056,87227803,187995859
12,1993,The Fugitive,Thriller/Suspense,44000000,183875760,169839557,353715317
13,1993,Last Action Hero,Action,85000000,50016394,87282095,137298489
14,1994,Clear and Present Danger,Action,62000000,122012656,85487344,207500000
15,1994,Forrest Gump,Drama,55000000,330151138,349687122,679838260
16,1994,Street Fighter,Action,35000000,33423000,66000000,99423000
17,1994,The River Wild,Action,45000000,46815000,47400000,94215000
18,1994,The Client,Thriller/Suspense,45000000,92115211,25500000,117615211
19,1994,Stargate,Adventure,55000000,71565669,125000000,196565669
20,1995,First Knight,Adventure,75000000,37361412,90000000,127361412
21,1995,Goldeneye,Action,60000000,106429941,250000000,356429941
22,1995,The American President,Romantic Comedy,62000000,60022813,47800000,107822813
23,1995,Batman Forever,Action,100000000,184031112,152498032,336529144
24,1995,Congo,Adventure,50000000,81022333,71000000,152022333
25,1995,Waterworld,Action,175000000,88246220,176000000,264246220
26,1995,Mars Attacks!,Black Comedy,80000000,37771017,63600000,101371017
27,1996,Mission: Impossible,Action,80000000,180981886,276716108,457697994
28,1996,Twister,Action,88000000,241688385,254011615,495700000
29,1996,Independence Day,Adventure,75000000,306169255,511231623,817400878
30,1996,The Island of Dr. Moreau,Adventure,40000000,27663982,21963797,49627779
31,1996,Up Close & Personal,Drama,60000000,51045801,49600000,100645801
32,1996,The Cable Guy,Black Comedy,47000000,60240295,42585501,102825796
33,1996,Chain Reaction,Thriller/Suspense,55000000,21226204,38983130,60209334
34,1996,Star Trek: First Contact,Adventure,46000000,92027888,57972112,150000000
35,1996,Dragonheart,Adventure,57000000,51364680,53000000,104364680
36,1996,The Nutty Professor,Comedy,55000000,128814019,145000000,273814019
37,1996,Daylight,Action,80000000,32908290,126000000,158908290
38,1996,Seven Years in Tibet,Drama,70000000,37945884,93500000,131445884
39,1997,Volcano,Action,90000000,47546796,72553204,120100000
40,1997,Spawn,Action,40000000,54979992,32969867,87949859
41,1997,The Fifth Element,Action,95000000,63570862,200322976,263893838
42,1997,Speed 2: Cruise Control,Action,110000000,48097081,102370919,150468000
43,1997,Dante’s Peak,Thriller/Suspense,115000000,67163857,111036143,178200000
44,1997,Men in Black,Adventure,90000000,250690539,337100000,587790539
45,1997,Anaconda,Horror,45000000,65598907,71400000,136998907
46,1997,Liar Liar,Comedy,45000000,181410615,121300000,302710615
47,1997,In & Out,Comedy,35000000,63826569,19400000,83226569
48,1997,The Lost World: Jurassic Park,Action,75000000,229086679,389552320,618638999
49,1997,Titanic,Drama,200000000,659363944,1548622601,2207986545
50,1997,Batman & Robin,Action,125000000,107325195,130992619,238317814
51,1997,As Good as it Gets,Romantic Comedy,50000000,148478011,165633912,314111923
52,1997,Tomorrow Never Dies,Action,110000000,125304276,214200000,339504276
53,1997,Father's Day,Comedy,85000000,28681080,7000000,35681080
54,1997,The Saint,Action,90000000,61363304,108036696,169400000
55,1997,The Mask of Zorro,Adventure,65000000,93828745,139871255,233700000
56,1998,City of Angels,Drama,55000000,78750909,120000000,198750909
57,1998,Practical Magic,Comedy,60000000,46850558,21486439,68336997
58,1998,What Dreams May Come,Drama,80000000,55485043,16000000,71485043
59,1998,Doctor Dolittle,Adventure,71500000,144156605,150000000,294156605
60,1998,Rush Hour,Action,35000000,141186864,104113136,245300000
61,1998,Small Soldiers,Adventure,40000000,55143823,16600000,71743823
62,1998,Stepmom,Drama,50000000,91137662,68607617,159745279
63,1998,Patch Adams,Comedy,50000000,135014968,67158032,202173000
